watch_id,user_id,show_id,watch_date,start_time,end_time,duration_watched,device
1,29,s164,2024-08-03,5:41 PM,9:35 PM,3.9,Mobile
2,2,s153,2025-06-04,10:28 PM,12:14 AM,1.77,Laptop
3,52,s84,2024-05-18,6:47 PM,8:32 PM,1.75,Laptop
4,99,s152,2024-10-14,10:20 AM,1:13 PM,2.88,Laptop
5,78,s18,2024-01-20,10:41 AM,2:26 PM,3.75,TV
6,6,s78,2024-12-04,12:45 PM,2:13 PM,1.47,Laptop
7,57,s137,2025-02-03,11:45 AM,2:00 PM,2.25,Laptop
8,89,s176,2025-05-07,12:03 PM,3:12 PM,3.15,Laptop
9,90,s181,2025-10-05,2:56 PM,4:57 PM,2.02,Mobile
10,99,s98,2025-04-20,7:39 PM,9:13 PM,1.57,Tablet
11,39,s93,2025-05-19,6:30 PM,8:49 PM,2.32,Mobile
12,87,s166,2024-04-12,12:21 PM,3:04 PM,2.72,TV
13,87,s87,2024-02-23,9:24 PM,11:49 PM,2.42,Mobile
14,71,s191,2025-02-02,2:55 PM,6:14 PM,3.32,TV
15,8,s139,2025-03-16,11:50 AM,2:21 PM,2.52,Laptop
16,28,s118,2024-11-18,4:23 AM,6:36 AM,2.22,Tablet
17,16,s155,2025-09-10,6:05 AM,9:41 AM,3.6,Mobile
18,15,s6,2025-01-03,6:56 PM,9:53 PM,2.95,Tablet
19,50,s196,2024-06-03,4:27 PM,5:55 PM,1.47,Tablet
20,96,s142,2024-03-04,7:29 AM,9:39 AM,2.17,Laptop
21,28,s5,2024-09-16,3:46 PM,5:20 PM,1.57,TV
22,75,s124,2025-05-10,1:32 AM,5:17 AM,3.75,Tablet
23,80,s173,2024-05-07,12:28 AM,3:37 AM,3.15,TV
24,27,s94,2024-08-09,2:16 PM,4:08 PM,1.87,TV
25,5,s121,2025-02-02,7:07 PM,10:50 PM,3.72,Mobile
26,6,s134,2024-04-27,12:10 PM,1:12 PM,1.03,TV
27,53,s51,2024-11-21,12:49 AM,2:30 AM,1.68,Laptop
28,85,s148,2025-04-04,8:56 PM,12:40 AM,3.73,Laptop
29,62,s168,2024-08-28,1:04 PM,3:44 PM,2.67,Tablet
30,75,s200,2025-01-07,12:45 PM,1:54 PM,1.15,Tablet
31,5,s49,2024-05-31,7:12 AM,10:36 AM,3.4,Tablet
32,74,s103,2024-07-01,6:18 PM,8:16 PM,1.97,Mobile
33,69,s103,2025-02-27,2:59 AM,4:31 AM,1.53,TV
34,81,s62,2024-06-27,4:04 AM,6:26 AM,2.37,Laptop
35,11,s92,2025-02-08,7:45 AM,9:47 AM,2.03,Tablet
36,2,s165,2024-02-07,2:06 PM,3:16 PM,1.17,Mobile
37,62,s105,2025-01-04,12:00 AM,3:55 AM,3.92,Laptop
38,22,s163,2025-09-09,4:00 AM,7:06 AM,3.1,Mobile
39,38,s8,2025-09-14,7:11 AM,10:43 AM,3.53,Laptop
